seed_name,rating_unit_name,amb_number,effective_date,fsr,icr,outlook,action,bs_assessment,op_assessment,bp_assessment,erm_assessment,bcar_model,bcar_95,bcar_99,bcar_995,bcar_996,source_file
Heartland National,,,"August 06, 2025",B++,bbb,Negative,Affirmed,Strong,Adequate,Limited,Marginal,"L/H, US",35.9,12.0,0.6,-3.1,24 - Heartland National.pdf
Homesteaders Life,,,"May 29, 2026",A-,a-,Stable,Affirmed,Strong,Adequate,Neutral,Appropriate,"L/H, US",21.6,13.7,10.5,9.7,25 - Homesteaders LIfe.pdf
Investors Heritage,,,"July 10, 2025",B++,bbb+,Stable,Affirmed,Adequate,Adequate,Neutral,Appropriate,"L/H, US",38.8,17.8,9.5,8.0,27 - Investors Heritage.pdf
National Western Life,,,"November 05, 2025",A-,a-,Stable,Affirmed,Very Strong,Adequate,Neutral,Appropriate,"L/H, US",53.5,45.2,41.2,40.1,35 - Naitonal Western LIfe.pdf
Pekin Life,,,"October 24, 2025",A-,a-,Stable,Affirmed,Very Strong,Marginal,Neutral,Appropriate,"L/H, US",60.2,45.1,39.0,36.9,38 - Pekin LIfe.pdf
Kemper — Reserve National,,,"July 10, 2025",A-,a-,Stable,Affirmed,Very Strong,Adequate,Limited,Appropriate,"L/H, US",75.4,63.4,58.0,56.5,41 - Kemper Reserve National.pdf
American National — Standard Life & Accident,,,"October 09, 2025",A-,a-,Stable,Affirmed,Very Strong,Adequate,Limited,Appropriate,"L/H, US",76.9,66.4,62.4,61.0,44 - American National Standard Life and Accident.pdf
Sentinel Security Life,A-CAP Group,070522,"January 23, 2026",B,bb+,Negative,Downgraded Under Review,Adequate,Adequate,Limited,Marginal,"L/H, US",-22.7,-46.1,-55.6,-58.0,43 - Sentinel Security Life.pdf
Aetna/CVS — Continental Life,Aetna Health & Life Group,069015,"June 05, 2026",A,a,Stable,Affirmed,Very Strong,Strong,Favorable,Appropriate,"Combined Life & Health, US",56.2,38.2,31.3,29.0,"15 -  Aetna, Cvs -  Continental LIfe.pdf"
Aetna/CVS — American Continental,Aetna Health & Life Group,069015,"June 05, 2026",A,a,Stable,Affirmed,Very Strong,Strong,Favorable,Appropriate,"Combined Life & Health, US",56.2,38.2,31.3,29.0,"3 - Aetna, Cvs - American Continental.pdf"
