rating_unit_name,rating_basis,bs,op,bp,erm,predicted_range,band_width,predicted_point,actual_icr,residual_notches,verdict
Wellabe Group,standalone,Strongest,Adequate,Neutral,Appropriate,a+..a,2,a,a,0,in-range
Physicians Mutual,standalone,Strongest,Strong,Neutral,Appropriate,aa..a+,3,a+,aa-,1,in-range
Mutual of Omaha,standalone,Very Strong,Strong,Favorable,Appropriate,aa..a+,3,a+,aa-,1,in-range
Guarantee Trust Life,standalone,Strongest,Strong,Limited,Appropriate,aa-..a,3,a,a,0,in-range
Aflac,group-member,Strongest,Strong,Favorable,Very Strong,aaa..aa,3,aa,aa,0,in-range
Globe Life,group-member,Strong,Strong,Favorable,Appropriate,aa-..a,3,a,a+,1,in-range
CNO — Bankers Life,group-member,Very Strong,Strong,Neutral,Appropriate,aa-..a,3,a,a,0,in-range
CNO — Washington National,group-member,Very Strong,Strong,Neutral,Appropriate,aa-..a,3,a,a,0,in-range
CNO — Colonial Penn,group-member,Very Strong,Strong,Neutral,Appropriate,aa-..a,3,a,a,0,in-range
Aetna/CVS — Continental Life,group-member,Very Strong,Strong,Favorable,Appropriate,aa..a+,3,a+,a,-1,group-aligned
Aetna/CVS — American Continental,group-member,Very Strong,Strong,Favorable,Appropriate,aa..a+,3,a+,a,-1,group-aligned
Cigna — Loyal American,group-member,Very Strong,Marginal,Neutral,Appropriate,a-..bbb,3,bbb+,a,2,group-aligned
Cigna — American Retirement Life,group-member,Very Strong,Marginal,Neutral,Appropriate,a-..bbb,3,bbb+,a,2,group-aligned
Cigna — National Health,group-member,Very Strong,Marginal,Neutral,Appropriate,a-..bbb,3,bbb+,a,2,group-aligned
Humana,group-member,Adequate,Strong,Favorable,Appropriate,a+..bbb+,4,a-,a,1,in-range
UnitedHealthcare,group-member,Strong,Strong,Very Favorable,Appropriate,aa..a+,3,a+,a+,0,in-range
Combined Insurance (Chubb),group-member,Strong,Strong,Neutral,Appropriate,a+..a-,3,a-,aa-,3,group-aligned
Lumico (RGA),group-member,Very Strong,Marginal,Limited,Appropriate,bbb+..bbb-,3,bbb,a,3,group-aligned
Pekin Life,standalone,Very Strong,Marginal,Neutral,Appropriate,a-..bbb,3,bbb+,a-,1,in-range
American National — Standard Life & Accident,group-member,Very Strong,Adequate,Limited,Appropriate,a-..bbb+,2,bbb+,a-,1,in-range
American National,standalone,Very Strong,Adequate,Favorable,Appropriate,a+..a,2,a,a,0,in-range
Kemper — Reserve National,standalone,Very Strong,Adequate,Neutral,Appropriate,a..a-,2,a-,a-,0,in-range
ManhattanLife — Assurance,standalone,Adequate,Strong,Neutral,Appropriate,a..bbb,4,bbb+,bbb,-1,in-range
ManhattanLife — Western United,standalone,Adequate,Strong,Neutral,Appropriate,a..bbb,4,bbb+,bbb,-1,in-range
New Era Life,standalone,Strong,Adequate,Neutral,Appropriate,a-..bbb+,2,bbb+,a-,1,in-range
